sku,name,category,regularPrice,sellingPrice,rating,ratingCount,image,flipkartUrl,badge,description,active,displayOrder,Featured
Fkt053,Kuber Gold Premium Dhoop (Wet Dhoop) Best Seller Dhoop (Pack of 12),Dhoop,300,300,4.6,246,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/f/u/v/premium-dhoop-wet-dhoop-best-seller-12-kuber-gold-original-imahzqngzs3xvfuf.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-dhoop-wet-dhoop-best-seller/p/itm5745917f9ddbb?pid=DCEHZQNJXHCGWM3G&marketplace=FLIPKART&lid=LSTDCEHZQNJXHCGWM3GBH1ABN&pageUID=1784974092378,BestSeller,Premium Dhoop (Best Seller),TRUE,1,
Fkt053-2,Kuber Gold Premium Dhoop (Wet Dhoop) Best Seller Dhoop (Pack of 10),Dhoop,250,238,4,108,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/d/k/q/premium-dhoop-wet-dhoop-best-seller-10-kuber-gold-original-imahzqnghgfeh3tk.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-dhoop-wet-dhoop-best-seller/p/itm459c4d0a6854d?pid=DCEHZQNJSQBEPDFU,BestSeller,Premium Dhoop (Best Seller),TRUE,2,Yes
KGR032,"Kuber Gold Kuber Mix Zipper Dhoop Combo (Rose/Mogra/Sandal/Guggal/Loban) Guggul, Rose, Sandal Dhoop (Pack of 5)",Dhoop,175,169,4,289,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/a/d/6/kuber-mix-zipper-dhoop-combo-rose-mogra-sandal-guggal-loban-5-original-imahneycz9jbtytm.jpeg?q=90,https://www.flipkart.com/kuber-gold-mix-zipper-dhoop-combo-rose-mogra-sandal-guggal-loban-guggul-rose-sandal/p/itm91a118ff874ac?pid=DCEHNEYDV98UXJYU,BestSeller,Premium Dhoop (Best Seller),TRUE,3,Yes
Fkt040,Kuber Gold Premium Dhoop (Pack of 12),Dhoop,180,171,4,197,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/g/o/e/premium-12-kuber-gold-original-imahzc8r5g9bhxb9.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-dhoop/p/itmaea39bec75b49?pid=DCEHZBRYQ8SJGUMF,BestSeller,Premium Best Seller Dhoop ,TRUE,4,Yes
Fkt011,"Kuber Gold 3in1 Bambooless Incense (90 g, Set of 1)",Dhoop Stick,70,64,4,134,https://rukminim1.flixcart.com/image/1536/1536/xif0q/incense-stick/5/d/8/3in1-bambooless-1-90-kuber-gold-original-imahnkccpyzcugq8.jpeg?q=90,https://www.flipkart.com/kuber-gold-3in1-bambooless-incense/p/itm5bdea8613cd74?pid=INSHNKCCDWHRUGYE,Premium,Premium Bambooless Sticks,TRUE,5,
Fkt052,"Kuber Gold Premium Dhoop Sticks, Size - 3 inches, Fragrances - kewda, loban, rose, rajnigandha, lavender, sri sai (12 Units, Set of 12)",Dhoop Stick,180,171,4.7,178,https://rukminim1.flixcart.com/image/1536/1536/xif0q/incense-stick/9/m/e/premium-dhoop-sticks-size-3-inches-fragrances-12-12-kuber-gold-original-imahzqmf7jvqaz69.jpeg?q=90,https://www.flipkart.com/kuber-gold-premium-dhoop-sticks-size-3-inches-fragrances-kewda-loban-rose-rajnigandha-lavender-sri-sai/p/itmbedd3a4b04c52?pid=INSHZQMGXXPY9VVW,Value Pack,Premium Dhoop Sticks,TRUE,6,
Fkt018,"Kuber Gold Royal Oudh 8"" Premium Sticks Dhoop ()",Dhoop Stick,70,69,3.5,125,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/m/n/l/royal-oudh-8-premium-sticks-1-kuber-gold-original-imahnkhpe89zvxz6.jpeg?q=90,https://www.flipkart.com/kuber-gold-royal-oudh-8-premium-sticks-dhoop/p/itm371005cac14f8?pid=DCEHNKNTZZ66A7XJ,Premium,Premium Bambooless Sticks,TRUE,7,
Fkt007,Kuber Gold Panchgavya Sambrani Cup Dhoop (),Sambrani,90,79,3.5,190,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/3/y/q/panchgavya-sambrani-cup-1-kuber-gold-original-imahnkat5neecwf6.jpeg?q=90,https://www.flipkart.com/kuber-gold-panchgavya-sambrani-cup-dhoop/p/itmfce1e4a8ef148?pid=DCEHNKAUYY2GEJUG,Premium,Premium Sambrani Cup,TRUE,8,
Fkt041,Kuber Gold 24 Carat Loban Musk Biscuit Dhoop (Pack of 2),Sambrani,240,197,4.5,169,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/f/r/w/24-carat-loban-musk-biscuit-2-kuber-gold-original-imahzcezgsnwkxcg.jpeg?q=90,https://www.flipkart.com/kuber-gold-24-carat-loban-musk-biscuit-dhoop/p/itmc0768807bd3e2?pid=DCEHZCEZHHVHRNTD,1st Time in India,Premium Sambrani Cup,TRUE,9,Yes
Fkt005,Kuber Gold Devstuti Sambrani Cup Dhoop (),Sambrani,90,79,4.2,459,https://rukminim1.flixcart.com/image/1536/1536/xif0q/dhoop-cone/a/c/t/devstuti-sambrani-cup-1-kuber-gold-original-imahnk9xvpubv4bh.jpeg?q=90,https://www.flipkart.com/kuber-gold-devstuti-sambrani-cup-dhoop/p/itme3e77c660791e?pid=DCEHNK9XHMYNNXSY,BestSeller,Premium Sambrani Cup,TRUE,10,
